year,y
1895,69.2246575342466
1896,70.155737704918
1897,71.3
1898,71.1260273972603
1902,71.5150684931507
1903,70.8602739726027
1904,70.724043715847
1905,70.9808219178082
1906,70.8356164383562
1907,71.3041095890411
1908,71.5027322404372
1909,72.1178082191781
1910,69.845205479452
1911,73.6753424657534
1912,72.4535519125683
1913,72.3205479452055
1914,71.3945205479452
1915,71.0246575342466
1916,71.6311475409836
1917,70.7438356164384
1918,72.6
1919,73.0739726027397
1920,71.4699453551913
1921,73.6452054794521
1922,74.2986301369863
1923,73.4191780821918
1924,72.3524590163934
1925,73.4712328767123
1926,72.5424657534247
1927,74.1945205479452
1928,72.3743169398907
1929,73.9342465753425
1931,72.8684931506849
1932,74.3360655737705
1933,74.0246575342466
1934,72.6643835616438
1935,72.241095890411
1936,72.3592896174863
1937,72.7109589041096
1938,73.0575342465753
1939,72.241095890411
1940,70.1092896174863
1941,72.1465753424658
1942,72.2986301369863
1943,72.5739726027397
1945,73.2602739726027
1946,74.041095890411
1947,73.5164383561644
1950,72.9657534246575
1951,72.7808219178082
1952,72.6407103825137
1953,73.0712328767123
1954,71.8794520547945
1955,71.127397260274
1956,71.2513661202186
1957,72.3986301369863
1958,70.5698630136986
1959,71.2904109589041
1960,71.1106557377049
1961,72.1150684931507
1962,71.1739726027397
1963,70.1260273972603
1964,71.6502732240437
1965,72.2246575342466
1966,71.1369863013699
1968,70.5109289617486
1969,70.4493150684931
1970,71.0602739726027
1971,71.9178082191781
1972,72.7622950819672
1974,72.46918767507
1975,73.4082191780822
1976,71.2377049180328
1977,71.2972602739726
1978,71.7013698630137
1979,72.0123287671233
1980,71.8333333333333
1981,71.1904109589041
1982,73.9520547945205
1983,71.3369863013699
1984,71.5218579234973
1985,73.2356164383562
1986,73.9301369863014
1987,72.1780821917808
1988,72.0054644808743
1989,73.5205479452055
1990,75.0027397260274
1991,74.5753424657534
1993,73.4958904109589
1994,74.9890410958904
1995,74.258904109589
1996,73.6830601092896
1997,74.7931506849315
1998,74.4821917808219
1999,73.0986301369863
2000,73.0409836065574
2001,73.1068493150685
2002,73.2178082191781
2003,73.0191780821918
2004,70.7855191256831
2005,73.6945205479452
2006,73.0739726027397
2007,73.5465753424658
2008,72.6885245901639
2009,72.758904109589
2010,70.5616438356164
2011,72.9917808219178
2012,73.1830601092896
2013,73.3287671232877
