year,y
1893,58.3506849315068
1894,59.9041095890411
1895,58.4178082191781
1896,61.1994535519126
1897,60.7534246575342
1899,60.186301369863
1900,60.6095890410959
1901,57.9150684931507
1902,60.9890410958904
1903,59.2712328767123
1904,59.172131147541
1905,59.5068493150685
1906,59.7424657534247
1907,59.5506849315069
1910,59.6753424657534
1911,62.8054794520548
1912,59.5751366120219
1913,61.3301369863014
1914,60.7287671232877
1915,60.3780821917808
1916,60.4959016393443
1917,58.2
1918,61.1890410958904
1919,61.2958904109589
1921,61.572602739726
1922,60.7287671232877
1923,59.2369863013699
1924,58.5327868852459
1926,59.4767123287671
1927,61.0493150684932
1928,58.4439890710383
1932,60.1803278688525
1936,60.5765027322404
1937,60.3369863013699
1938,61.6534246575342
1943,59.6684931506849
1944,61.1092896174863
1945,59.9534246575342
1946,60.8931506849315
1947,58.9780821917808
1949,60.6753424657534
1950,59.4287671232877
1953,60.0191780821918
1954,60.1301369863014
1956,59.8387978142077
1957,60.1315068493151
1959,59.6246575342466
1960,57.3647540983607
1961,56.8328767123288
1962,57.3917808219178
1963,56.1123287671233
1964,57.5300546448087
1966,56.7616438356164
1967,56.1205479452055
1968,54.9644808743169
1969,55.7369863013699
1970,56.9561643835616
1971,57.8575342465753
1972,57.9098360655738
1973,58.1383561643836
1974,57.8821917808219
1975,58.2287671232877
1976,55.4562841530055
1977,57.1150684931507
1978,56.7397260273973
1979,56.6054794520548
1980,56.724043715847
1981,55.7452054794521
1982,57.3397260273973
1983,56.0356164383562
1984,57.0081967213115
1985,56.986301369863
1986,58.6684931506849
1987,57.2904109589041
1988,56.1803278688525
1989,56.6493150684932
1990,59.1890410958904
1991,59.0109589041096
1992,57.1366120218579
1993,57.358904109589
1994,58.213698630137
1995,57.8164383561644
1996,56.3661202185792
1997,57.0328767123288
1998,60.3479452054795
1999,59.1643835616438
2000,57.8907103825137
2001,57.9616438356164
2002,58.6684931506849
2003,57.5397260273973
2004,58.4344262295082
2005,58.2328767123288
2006,59.0219178082192
2007,60.0054794520548
2008,58.3265027322404
2009,58.9178082191781
2010,58.3397260273973
2012,61.2991803278689
